RouteID,DisruptionID,DisruptionType,Severity,DelayMinutes,CapacityReduction,TotalStops,StopsLost,DistanceChange(KM),TimeChange(Hours),RecoveryEfficiency(%),RecoverySuccessful,RiskScore,RiskLevel,PriorityScore,AI_Decision,Recommendation
RouteID_00747543-3f2f-47ae-a2f2-91b30ce207ab,DISRUPTION_773a987c-f124-47a1-a60f-66d8903f329b,TRAFFIC_DELAY,HIGH,50,0,173,23,-9.88,-0.33,17.02,True,100,HIGH,82.3,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00f414f8-ff9a-4d98-aca2-a6b991a2037d,DISRUPTION_1556a079-92d0-4655-95d8-d11241e7f33e,TRAFFIC_DELAY,HIGH,54,0,164,14,-5.32,-0.18,10.62,True,100,HIGH,82.2,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00f414f8-ff9a-4d98-aca2-a6b991a2037d,DISRUPTION_10a97f6c-d577-4811-b985-ed8ca193f540,TRAFFIC_DELAY,HIGH,45,0,164,14,-5.32,-0.18,10.62,True,100,HIGH,80.4,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_006f581c-3087-4edf-8802-278b078157b9,DISRUPTION_379b6b07-bc1c-4ccd-bfce-abdd6764ddd8,VEHICLE_CAPACITY_REDUCTION,HIGH,0,46,184,104,-28.88,-0.96,51.12,True,100,HIGH,80.4,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00e7fcc6-2f6d-4054-b9ca-e190fa4ecdce,DISRUPTION_a8862278-4788-4884-8078-0eb6efb29996,TRAFFIC_DELAY,HIGH,40,0,167,17,-9.47,-0.32,21.41,True,100,HIGH,79.7,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,DISRUPTION_8fa5545e-2de6-447d-823b-9730d7f67737,VEHICLE_CAPACITY_REDUCTION,HIGH,0,31,176,74,-18.08,-0.6,44.79,True,100,HIGH,77.4,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00d421bf-f001-4fb0-923e-c343d3d369bc,DISRUPTION_992b81e6-7bee-4878-84cf-991575afcbd9,VEHICLE_CAPACITY_REDUCTION,HIGH,0,41,159,71,-13.7,-0.46,40.23,True,100,HIGH,77.1,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00ca3fbf-8953-4fbb-9c59-96fce68e6504,DISRUPTION_e1bc5189-c1aa-4fd5-9f17-0530650baf11,VEHICLE_CAPACITY_REDUCTION,HIGH,0,49,138,63,-13.41,-0.45,28.83,True,100,HIGH,76.3,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00ace8b4-30c6-4a20-a723-74ece636a0da,DISRUPTION_384f57ba-2f04-4a21-b49a-3c618a7dcf05,VEHICLE_CAPACITY_REDUCTION,HIGH,0,25,173,62,-13.1,-0.44,35.57,True,100,HIGH,76.2,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_0091a35c-85fa-4b5e-90cf-4778f441753e,DISRUPTION_50c7dcec-a2f4-46aa-833f-55584e1915f4,VEHICLE_CAPACITY_REDUCTION,HIGH,0,43,145,60,-18.94,-0.63,45.17,True,100,HIGH,76.0,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
