RouteID,TotalStops,OptimizedStops,UnservedStops,OriginalDistance(KM),OptimizedDistance(KM),OriginalTime(Hours),OptimizedTime(Hours),Improvement(%),StopsConstraint,TimeConstraint,AllStopsServed
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,119,119,0,33.57,30.81,1.12,1.03,8.23,True,True,True
RouteID_0016bc70-cb8d-48b0-aa55-8ee50bdcdb59,106,106,0,40.18,39.79,1.34,1.33,0.96,True,True,True
RouteID_001948e9-4675-486d-9ec5-912fd8e0770f,128,128,0,51.75,50.39,1.72,1.68,2.63,True,True,True
RouteID_001b4ee3-c4f2-467f-932b-c85524d1021f,142,142,0,45.69,41.29,1.52,1.38,9.63,True,True,True
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,155,150,5,48.5,38.32,1.62,1.28,21.0,True,True,False
RouteID_0036cf37-1c93-48f8-b337-3dd6d1a195d8,190,150,40,52.43,40.01,1.75,1.33,23.69,True,True,False
RouteID_00437423-5a8f-4fac-8efa-85264f0a3944,161,150,11,70.17,52.79,2.34,1.76,24.78,True,True,False
RouteID_00573a3d-b909-42ee-8a99-c6474309d96b,155,150,5,80.6,68.43,2.69,2.28,15.1,True,True,False
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,177,150,27,40.37,30.85,1.35,1.03,23.57,True,True,False
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,59,59,0,25.93,25.27,0.86,0.84,2.55,True,True,True
RouteID_00595235-52e7-4b68-883c-70482701dea0,129,129,0,31.12,27.21,1.04,0.91,12.55,True,True,True
RouteID_006f581c-3087-4edf-8802-278b078157b9,185,150,35,56.5,38.5,1.88,1.28,31.86,True,True,False
RouteID_00747543-3f2f-47ae-a2f2-91b30ce207ab,173,150,23,58.07,48.19,1.94,1.61,17.02,True,True,False
RouteID_0074e307-23c1-4b15-afa2-e58b45e4403c,161,150,11,30.45,20.94,1.02,0.7,31.25,True,True,False
RouteID_0076d53c-6bfa-4e22-b39e-08769fb8e4d3,130,130,0,43.63,40.37,1.45,1.35,7.48,True,True,True
RouteID_007a8397-37f4-4775-a452-c6934167526b,176,150,26,31.45,22.77,1.05,0.76,27.61,True,True,False
RouteID_007b8544-11dc-47b2-be61-0095f8f2af71,78,78,0,26.01,24.32,0.87,0.81,6.47,True,True,True
RouteID_0091a35c-85fa-4b5e-90cf-4778f441753e,145,145,0,41.94,36.91,1.4,1.23,11.99,True,True,True
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,153,150,3,58.99,52.29,1.97,1.74,11.34,True,True,False
RouteID_00a25e47-65c9-4efc-bfe9-8d9648a0df4e,157,150,7,29.55,28.52,0.99,0.95,3.49,True,True,False
RouteID_00ace8b4-30c6-4a20-a723-74ece636a0da,174,150,24,36.84,28.49,1.23,0.95,22.65,True,True,False
RouteID_00b8cd9c-613a-4519-b3fd-2b7174f1cff3,80,80,0,25.35,24.78,0.85,0.83,2.25,True,True,True
RouteID_00bea18c-ee16-4a18-a916-7a447c733a7d,141,141,0,30.96,22.93,1.03,0.76,25.93,True,True,True
RouteID_00ca3fbf-8953-4fbb-9c59-96fce68e6504,139,139,0,46.5,45.49,1.55,1.52,2.18,True,True,True
RouteID_00d421bf-f001-4fb0-923e-c343d3d369bc,159,150,9,34.05,29.37,1.13,0.98,13.73,True,True,False
RouteID_00e4885d-4563-4790-bace-6c9e4261ce2a,136,136,0,41.26,38.51,1.38,1.28,6.66,True,True,True
RouteID_00e7fcc6-2f6d-4054-b9ca-e190fa4ecdce,167,150,17,44.25,34.77,1.47,1.16,21.41,True,True,False
RouteID_00ead793-e8f0-4ac6-a2d7-d988f05cc715,198,150,48,33.73,20.35,1.12,0.68,39.66,True,True,False
RouteID_00f414f8-ff9a-4d98-aca2-a6b991a2037d,164,150,14,50.08,44.77,1.67,1.49,10.62,True,True,False
RouteID_00f9c249-33cd-4124-9cf2-b970b157a5ca,146,146,0,55.93,52.36,1.86,1.75,6.38,True,True,True
