RouteID,Stops,OriginalDistance(KM),OptimizedDistance(KM),Improvement(%)
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,119,33.57,30.81,8.23
RouteID_0016bc70-cb8d-48b0-aa55-8ee50bdcdb59,106,40.18,39.79,0.96
RouteID_001948e9-4675-486d-9ec5-912fd8e0770f,128,51.75,50.39,2.63
RouteID_001b4ee3-c4f2-467f-932b-c85524d1021f,142,45.69,41.29,9.63
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,155,48.5,40.37,16.75
RouteID_0036cf37-1c93-48f8-b337-3dd6d1a195d8,190,52.43,49.76,5.09
RouteID_00437423-5a8f-4fac-8efa-85264f0a3944,161,70.17,63.18,9.96
RouteID_00573a3d-b909-42ee-8a99-c6474309d96b,155,80.6,73.38,8.95
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,177,40.37,36.35,9.96
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,59,25.93,25.27,2.55
RouteID_00595235-52e7-4b68-883c-70482701dea0,129,31.12,27.21,12.55
RouteID_006f581c-3087-4edf-8802-278b078157b9,185,56.5,53.03,6.15
RouteID_00747543-3f2f-47ae-a2f2-91b30ce207ab,173,58.07,53.28,8.24
RouteID_0074e307-23c1-4b15-afa2-e58b45e4403c,161,30.45,26.47,13.07
RouteID_0076d53c-6bfa-4e22-b39e-08769fb8e4d3,130,43.63,40.37,7.48
RouteID_007a8397-37f4-4775-a452-c6934167526b,176,31.45,28.22,10.28
RouteID_007b8544-11dc-47b2-be61-0095f8f2af71,78,26.01,24.32,6.47
RouteID_0091a35c-85fa-4b5e-90cf-4778f441753e,145,41.94,36.91,11.99
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,153,58.99,52.88,10.36
RouteID_00a25e47-65c9-4efc-bfe9-8d9648a0df4e,157,29.55,30.27,-2.42
RouteID_00ace8b4-30c6-4a20-a723-74ece636a0da,174,36.84,35.22,4.4
RouteID_00b8cd9c-613a-4519-b3fd-2b7174f1cff3,80,25.35,24.78,2.25
RouteID_00bea18c-ee16-4a18-a916-7a447c733a7d,141,30.96,22.93,25.93
RouteID_00ca3fbf-8953-4fbb-9c59-96fce68e6504,139,46.5,45.49,2.18
RouteID_00d421bf-f001-4fb0-923e-c343d3d369bc,159,34.05,33.38,1.96
RouteID_00e4885d-4563-4790-bace-6c9e4261ce2a,136,41.26,38.51,6.66
RouteID_00e7fcc6-2f6d-4054-b9ca-e190fa4ecdce,167,44.25,40.3,8.92
RouteID_00ead793-e8f0-4ac6-a2d7-d988f05cc715,198,33.73,30.73,8.89
RouteID_00f414f8-ff9a-4d98-aca2-a6b991a2037d,164,50.08,47.61,4.94
RouteID_00f9c249-33cd-4124-9cf2-b970b157a5ca,146,55.93,52.36,6.38
