RouteID,DisruptionID,DisruptionType,Severity,DelayMinutes,CapacityReduction,OriginalStops,ReroutedStops,StopsLost,OriginalDistance(KM),ReroutedDistance(KM),DistanceChange(KM),OriginalTime(Hours),DisruptedTime(Hours),ReroutedTime(Hours),TimeChange(Hours),RecoveryEfficiency(%),StopsConstraint,TimeConstraint,RecoverySuccessful
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DISRUPTION_5368798c-b1b3-4b17-be8c-b79e90058577,TRAFFIC_DELAY,LOW,9.0,0.0,119,119,0,33.57,30.81,-2.76,1.12,1.27,1.03,-0.09,8.23,True,True,True
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DISRUPTION_572c9974-37cf-4482-8456-bb7ddfbcf2a7,ROAD_CLOSURE,MEDIUM,0.0,0.0,119,118,1,33.57,30.68,-2.89,1.12,1.12,1.02,-0.1,8.62,True,True,True
RouteID_0016bc70-cb8d-48b0-aa55-8ee50bdcdb59,DISRUPTION_fd1c85c7-1160-440a-a25a-c9169b629075,ROAD_CLOSURE,MEDIUM,0.0,0.0,106,105,1,40.18,39.79,-0.39,1.34,1.34,1.33,-0.01,0.96,True,True,True
RouteID_0016bc70-cb8d-48b0-aa55-8ee50bdcdb59,DISRUPTION_d45948d9-bc2e-492b-aefe-d9c603f46037,TRAFFIC_DELAY,HIGH,43.0,0.0,106,106,0,40.18,39.79,-0.39,1.34,2.06,1.33,-0.01,0.96,True,True,True
RouteID_001948e9-4675-486d-9ec5-912fd8e0770f,DISRUPTION_ed7c542e-c937-4de0-970f-db8ed3c40507,TRAFFIC_DELAY,LOW,6.0,0.0,128,128,0,51.75,50.39,-1.36,1.72,1.82,1.68,-0.05,2.63,True,True,True
RouteID_001948e9-4675-486d-9ec5-912fd8e0770f,DISRUPTION_574e0a38-5dea-46ed-8e75-ddfad66c1ae9,ROAD_CLOSURE,MEDIUM,0.0,0.0,128,127,1,51.75,49.93,-1.82,1.72,1.72,1.66,-0.06,3.51,True,True,True
RouteID_001b4ee3-c4f2-467f-932b-c85524d1021f,DISRUPTION_ca4bf0e3-e06f-4188-8aef-9abbb2d56409,TRAFFIC_DELAY,HIGH,36.0,0.0,142,142,0,45.69,41.29,-4.4,1.52,2.12,1.38,-0.15,9.63,True,True,True
RouteID_001b4ee3-c4f2-467f-932b-c85524d1021f,DISRUPTION_f0908b76-4fe7-425c-b896-c68912356438,NEW_STOP,LOW,0.0,0.0,142,142,0,45.69,41.29,-4.4,1.52,1.52,1.38,-0.15,9.63,True,True,True
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,DISRUPTION_dff6dfaf-90f0-45bd-830e-a847e06fff18,ROAD_CLOSURE,HIGH,0.0,0.0,155,150,5,48.5,38.47,-10.03,1.62,1.62,1.28,-0.33,20.69,True,True,True
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,DISRUPTION_5a3ed1dd-482f-4573-8829-b6f0eff5ebb8,VEHICLE_CAPACITY_REDUCTION,MEDIUM,0.0,14.0,155,129,26,48.5,33.62,-14.88,1.62,1.84,1.12,-0.5,30.68,True,True,True
