RouteID,DisruptionID,DisruptionType,Severity,DelayMinutes,CapacityReduction,TotalStops,OriginalDistance(KM),DisruptedDistance(KM),ReroutedDistance(KM),OriginalTime(Hours),DisruptedTime(Hours),ReroutedTime(Hours),DistanceImpact(KM),DistanceRecovered(KM),TimeImpact(Hours),TimeRecovered(Hours),DistanceRecovery(%),TimeRecovery(%),RecoveryEfficiency(%),SuccessfulRecovery
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DISRUPTION_5368798c-b1b3-4b17-be8c-b79e90058577,TRAFFIC_DELAY,LOW,9.0,0.0,119,33.57,34.24,30.81,1.12,1.27,1.03,0.67,3.43,0.15,0.24,100,100,100.0,True
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DISRUPTION_572c9974-37cf-4482-8456-bb7ddfbcf2a7,ROAD_CLOSURE,MEDIUM,0.0,0.0,119,33.57,36.26,30.68,1.12,1.12,1.02,2.69,5.58,0.0,0.1,100,0,100.0,True
RouteID_0016bc70-cb8d-48b0-aa55-8ee50bdcdb59,DISRUPTION_fd1c85c7-1160-440a-a25a-c9169b629075,ROAD_CLOSURE,MEDIUM,0.0,0.0,106,40.18,43.39,39.79,1.34,1.34,1.33,3.21,3.6,0.0,0.01,100,0,56.02,True
RouteID_0016bc70-cb8d-48b0-aa55-8ee50bdcdb59,DISRUPTION_d45948d9-bc2e-492b-aefe-d9c603f46037,TRAFFIC_DELAY,HIGH,43.0,0.0,106,40.18,40.98,39.79,1.34,2.06,1.33,0.8,1.19,0.72,0.73,100,100,100.0,True
RouteID_001948e9-4675-486d-9ec5-912fd8e0770f,DISRUPTION_ed7c542e-c937-4de0-970f-db8ed3c40507,TRAFFIC_DELAY,LOW,6.0,0.0,128,51.75,52.78,50.39,1.72,1.82,1.68,1.03,2.39,0.1,0.14,100,100,100.0,True
RouteID_001948e9-4675-486d-9ec5-912fd8e0770f,DISRUPTION_574e0a38-5dea-46ed-8e75-ddfad66c1ae9,ROAD_CLOSURE,MEDIUM,0.0,0.0,128,51.75,55.89,49.93,1.72,1.72,1.66,4.14,5.96,0.0,0.06,100,0,71.95,True
RouteID_001b4ee3-c4f2-467f-932b-c85524d1021f,DISRUPTION_ca4bf0e3-e06f-4188-8aef-9abbb2d56409,TRAFFIC_DELAY,HIGH,36.0,0.0,142,45.69,46.6,41.29,1.52,2.12,1.38,0.91,5.31,0.6,0.74,100,100,100.0,True
RouteID_001b4ee3-c4f2-467f-932b-c85524d1021f,DISRUPTION_f0908b76-4fe7-425c-b896-c68912356438,NEW_STOP,LOW,0.0,0.0,142,45.69,47.97,41.29,1.52,1.52,1.38,2.28,6.68,0.0,0.14,100,0,100.0,True
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,DISRUPTION_dff6dfaf-90f0-45bd-830e-a847e06fff18,ROAD_CLOSURE,HIGH,0.0,0.0,155,48.5,52.38,38.47,1.62,1.62,1.28,3.88,13.91,0.0,0.34,100,0,100.0,True
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,DISRUPTION_5a3ed1dd-482f-4573-8829-b6f0eff5ebb8,VEHICLE_CAPACITY_REDUCTION,MEDIUM,0.0,14.0,155,48.5,49.96,33.62,1.62,1.62,1.12,1.46,16.34,0.0,0.5,100,0,100.0,True
RouteID_0036cf37-1c93-48f8-b337-3dd6d1a195d8,DISRUPTION_8353c03c-43c3-4640-b9ab-853d61bf0e42,ROAD_CLOSURE,HIGH,0.0,0.0,190,52.43,56.62,40.05,1.75,1.75,1.33,4.19,16.57,0.0,0.42,100,0,100.0,True
RouteID_0036cf37-1c93-48f8-b337-3dd6d1a195d8,DISRUPTION_1283b272-64cf-4507-883a-eaaf6de273f6,TRAFFIC_DELAY,LOW,11.0,0.0,190,52.43,53.48,40.01,1.75,1.93,1.33,1.05,13.47,0.18,0.6,100,100,100.0,True
RouteID_00437423-5a8f-4fac-8efa-85264f0a3944,DISRUPTION_ef6528c4-be5e-46ee-b4c5-6ab463ad471a,TRAFFIC_DELAY,MEDIUM,26.0,0.0,161,70.17,71.57,52.79,2.34,2.77,1.76,1.4,18.78,0.43,1.01,100,100,100.0,True
RouteID_00437423-5a8f-4fac-8efa-85264f0a3944,DISRUPTION_e129d943-6725-4735-9516-48f0f05eb8a7,VEHICLE_CAPACITY_REDUCTION,LOW,0.0,10.0,161,70.17,72.28,46.71,2.34,2.34,1.56,2.11,25.57,0.0,0.78,100,0,100.0,True
RouteID_00573a3d-b909-42ee-8a99-c6474309d96b,DISRUPTION_c8d451eb-1416-4477-886f-92887a910be8,NEW_STOP,MEDIUM,0.0,0.0,155,80.6,84.63,68.43,2.69,2.69,2.28,4.03,16.2,0.0,0.41,100,0,100.0,True
RouteID_00573a3d-b909-42ee-8a99-c6474309d96b,DISRUPTION_1a37a412-f55f-48f1-89e8-9d6f613f5eca,TRAFFIC_DELAY,HIGH,39.0,0.0,155,80.6,82.21,68.43,2.69,3.34,2.28,1.61,13.78,0.65,1.06,100,100,100.0,True
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,DISRUPTION_8fa5545e-2de6-447d-823b-9730d7f67737,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,31.0,177,40.37,41.58,22.29,1.35,1.35,0.74,1.21,19.29,0.0,0.61,100,0,100.0,True
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,DISRUPTION_ef588552-1a3c-45e8-88bc-1ca4bad2e5e9,TRAFFIC_DELAY,LOW,15.0,0.0,177,40.37,41.17,30.85,1.35,1.6,1.03,0.81,10.32,0.25,0.57,100,100,100.0,True
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,DISRUPTION_34f850bd-d328-402b-be0b-cee00f2a4e2d,ROAD_CLOSURE,HIGH,0.0,0.0,59,25.93,28.0,24.98,0.86,0.86,0.83,2.07,3.02,0.0,0.03,100,0,72.83,True
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,DISRUPTION_f106a999-6645-4443-beb3-d3c44cfb929b,TRAFFIC_DELAY,LOW,6.0,0.0,59,25.93,26.45,25.27,0.86,0.96,0.84,0.52,1.18,0.1,0.12,100,100,100.0,True
RouteID_00595235-52e7-4b68-883c-70482701dea0,DISRUPTION_6fd729ba-c1e7-44a9-9dd5-b6319965c42d,NEW_STOP,MEDIUM,0.0,0.0,129,31.12,32.68,27.21,1.04,1.04,0.91,1.56,5.47,0.0,0.13,100,0,100.0,True
RouteID_00595235-52e7-4b68-883c-70482701dea0,DISRUPTION_246ed6f5-2a66-4641-8b07-0afad8166c80,ROAD_CLOSURE,HIGH,0.0,0.0,129,31.12,33.61,27.13,1.04,1.04,0.9,2.49,6.48,0.0,0.14,100,0,100.0,True
RouteID_006f581c-3087-4edf-8802-278b078157b9,DISRUPTION_67a4f0ee-ee40-4e90-90e9-884c4e56bef9,VEHICLE_CAPACITY_REDUCTION,LOW,0.0,10.0,185,56.5,58.2,36.22,1.88,1.88,1.21,1.7,21.98,0.0,0.67,100,0,100.0,True
RouteID_006f581c-3087-4edf-8802-278b078157b9,DISRUPTION_379b6b07-bc1c-4ccd-bfce-abdd6764ddd8,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,46.0,185,56.5,58.2,27.62,1.88,1.88,0.92,1.7,30.58,0.0,0.96,100,0,100.0,True
RouteID_00747543-3f2f-47ae-a2f2-91b30ce207ab,DISRUPTION_773a987c-f124-47a1-a60f-66d8903f329b,TRAFFIC_DELAY,HIGH,50.0,0.0,173,58.07,59.23,48.19,1.94,2.77,1.61,1.16,11.04,0.83,1.16,100,100,100.0,True
RouteID_00747543-3f2f-47ae-a2f2-91b30ce207ab,DISRUPTION_072af70c-aac0-4085-8851-6777862541d6,ROAD_CLOSURE,MEDIUM,0.0,0.0,173,58.07,62.71,48.23,1.94,1.94,1.61,4.65,14.48,0.0,0.33,100,0,100.0,True
RouteID_0074e307-23c1-4b15-afa2-e58b45e4403c,DISRUPTION_6d4a41cd-2966-4653-9ba5-20d04b3cf839,ROAD_CLOSURE,HIGH,0.0,0.0,161,30.45,32.89,20.99,1.02,1.02,0.7,2.44,11.9,0.0,0.32,100,0,100.0,True
RouteID_0074e307-23c1-4b15-afa2-e58b45e4403c,DISRUPTION_84594ab2-335f-4810-8313-895852eaf0a5,NEW_STOP,LOW,0.0,0.0,161,30.45,31.97,20.94,1.02,1.02,0.7,1.52,11.03,0.0,0.32,100,0,100.0,True
