RouteID,DisruptionID,DisruptionType,Severity,DelayMinutes,CapacityReduction,TotalStops,StopsLost,DistanceChange(KM),TimeChange(Hours),RecoveryEfficiency(%),RecoverySuccessful,MLRisk,HIGH_Probability,MEDIUM_Probability,LOW_Probability,MLConfidence(%),OperationalRiskScore,FinalRiskScore,FinalRiskLevel,PriorityScore,AI_Decision,ExplanationCategory,CompleteExplanation
RouteID_00747543-3f2f-47ae-a2f2-91b30ce207ab,DISRUPTION_773a987c-f124-47a1-a60f-66d8903f329b,TRAFFIC_DELAY,HIGH,50,0,173,23,-9.88,-0.33,17.02,True,HIGH,100.0,0.0,0.0,100.0,85,85.0,HIGH,100.0,IMMEDIATE_TRAFFIC_REROUTE,URGENT_ACTION,"A traffic delay of 50 minutes was detected with high severity. The delay can increase travel time and reduce delivery reliability. The route contains 173 stops, indicating a relatively high delivery workload. 23 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.33 hours. Route distance was reduced by approximately 9.88 KM. The rerouting process achieved a recovery efficiency of 17.02%. The machine learning model classified this scenario as HIGH risk with 100.00% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 85.00. Final risk score: 85.00. Priority score: 100.00. RouteMind recommends immediate traffic rerouting to avoid the affected congestion and protect delivery time performance."
RouteID_00f414f8-ff9a-4d98-aca2-a6b991a2037d,DISRUPTION_1556a079-92d0-4655-95d8-d11241e7f33e,TRAFFIC_DELAY,HIGH,54,0,164,14,-5.32,-0.18,10.62,True,HIGH,99.99,0.01,0.0,99.99,80,83.49,HIGH,97.44,IMMEDIATE_TRAFFIC_REROUTE,URGENT_ACTION,"A traffic delay of 54 minutes was detected with high severity. The delay can increase travel time and reduce delivery reliability. The route contains 164 stops, indicating a relatively high delivery workload. 14 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.18 hours. Route distance was reduced by approximately 5.32 KM. The rerouting process achieved a recovery efficiency of 10.62%. The machine learning model classified this scenario as HIGH risk with 99.99% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 80.00. Final risk score: 83.49. Priority score: 97.44. RouteMind recommends immediate traffic rerouting to avoid the affected congestion and protect delivery time performance."
RouteID_00e7fcc6-2f6d-4054-b9ca-e190fa4ecdce,DISRUPTION_a8862278-4788-4884-8078-0eb6efb29996,TRAFFIC_DELAY,HIGH,40,0,167,17,-9.47,-0.32,21.41,True,HIGH,99.99,0.01,0.0,99.99,80,83.49,HIGH,96.19,IMMEDIATE_TRAFFIC_REROUTE,URGENT_ACTION,"A traffic delay of 40 minutes was detected with high severity. The delay can increase travel time and reduce delivery reliability. The route contains 167 stops, indicating a relatively high delivery workload. 17 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.32 hours. Route distance was reduced by approximately 9.47 KM. The rerouting process achieved a recovery efficiency of 21.41%. The machine learning model classified this scenario as HIGH risk with 99.99% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 80.00. Final risk score: 83.49. Priority score: 96.19. RouteMind recommends immediate traffic rerouting to avoid the affected congestion and protect delivery time performance."
RouteID_00f414f8-ff9a-4d98-aca2-a6b991a2037d,DISRUPTION_10a97f6c-d577-4811-b985-ed8ca193f540,TRAFFIC_DELAY,HIGH,45,0,164,14,-5.32,-0.18,10.62,True,HIGH,99.99,0.01,0.0,99.99,80,83.49,HIGH,95.19,IMMEDIATE_TRAFFIC_REROUTE,URGENT_ACTION,"A traffic delay of 45 minutes was detected with high severity. The delay can increase travel time and reduce delivery reliability. The route contains 164 stops, indicating a relatively high delivery workload. 14 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.18 hours. Route distance was reduced by approximately 5.32 KM. The rerouting process achieved a recovery efficiency of 10.62%. The machine learning model classified this scenario as HIGH risk with 99.99% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 80.00. Final risk score: 83.49. Priority score: 95.19. RouteMind recommends immediate traffic rerouting to avoid the affected congestion and protect delivery time performance."
RouteID_0091a35c-85fa-4b5e-90cf-4778f441753e,DISRUPTION_50c7dcec-a2f4-46aa-833f-55584e1915f4,VEHICLE_CAPACITY_REDUCTION,HIGH,0,43,145,60,-18.94,-0.63,45.17,True,HIGH,100.0,0.0,0.0,100.0,87,85.6,HIGH,89.92,IMMEDIATE_LOAD_REBALANCE,URGENT_ACTION,Vehicle capacity was reduced by 43%. This can prevent the vehicle from serving all planned stops and may require load redistribution or rerouting. The route contains 145 planned stops. 60 stops were affected during the disruption scenario. The rerouting scenario produced a moderate time impact of 0.63 hours. Route distance was reduced by approximately 18.94 KM. The rerouting process achieved a recovery efficiency of 45.17%. The machine learning model classified this scenario as HIGH risk with 100.00% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 87.00. Final risk score: 85.60. Priority score: 89.92. RouteMind recommends immediate load rebalancing because vehicle capacity has been reduced. The remaining delivery workload should be redistributed before continuing the route.
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,DISRUPTION_8fa5545e-2de6-447d-823b-9730d7f67737,VEHICLE_CAPACITY_REDUCTION,HIGH,0,31,176,74,-18.08,-0.6,44.79,True,HIGH,100.0,0.0,0.0,100.0,87,85.6,HIGH,89.92,IMMEDIATE_LOAD_REBALANCE,URGENT_ACTION,"Vehicle capacity was reduced by 31%. This can prevent the vehicle from serving all planned stops and may require load redistribution or rerouting. The route contains 176 stops, indicating a relatively high delivery workload. 74 stops were affected during the disruption scenario. The rerouting scenario produced a moderate time impact of 0.60 hours. Route distance was reduced by approximately 18.08 KM. The rerouting process achieved a recovery efficiency of 44.79%. The machine learning model classified this scenario as HIGH risk with 100.00% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 87.00. Final risk score: 85.60. Priority score: 89.92. RouteMind recommends immediate load rebalancing because vehicle capacity has been reduced. The remaining delivery workload should be redistributed before continuing the route."
RouteID_006f581c-3087-4edf-8802-278b078157b9,DISRUPTION_379b6b07-bc1c-4ccd-bfce-abdd6764ddd8,VEHICLE_CAPACITY_REDUCTION,HIGH,0,46,184,104,-28.88,-0.96,51.12,True,HIGH,100.0,0.0,0.0,100.0,87,85.6,HIGH,89.92,IMMEDIATE_LOAD_REBALANCE,URGENT_ACTION,"Vehicle capacity was reduced by 46%. This can prevent the vehicle from serving all planned stops and may require load redistribution or rerouting. The route contains 184 stops, making it operationally complex and more sensitive to disruptions. 104 stops were affected during the disruption scenario. The rerouting scenario produced a moderate time impact of 0.96 hours. Route distance was reduced by approximately 28.88 KM. The rerouting process achieved a recovery efficiency of 51.12%. The machine learning model classified this scenario as HIGH risk with 100.00% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 87.00. Final risk score: 85.60. Priority score: 89.92. RouteMind recommends immediate load rebalancing because vehicle capacity has been reduced. The remaining delivery workload should be redistributed before continuing the route."
RouteID_00ca3fbf-8953-4fbb-9c59-96fce68e6504,DISRUPTION_e1bc5189-c1aa-4fd5-9f17-0530650baf11,VEHICLE_CAPACITY_REDUCTION,HIGH,0,49,138,63,-13.41,-0.45,28.83,True,HIGH,100.0,0.0,0.0,100.0,82,84.1,HIGH,88.87,IMMEDIATE_LOAD_REBALANCE,URGENT_ACTION,Vehicle capacity was reduced by 49%. This can prevent the vehicle from serving all planned stops and may require load redistribution or rerouting. The route contains 138 planned stops. 63 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.45 hours. Route distance was reduced by approximately 13.41 KM. The rerouting process achieved a recovery efficiency of 28.83%. The machine learning model classified this scenario as HIGH risk with 100.00% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 82.00. Final risk score: 84.10. Priority score: 88.87. RouteMind recommends immediate load rebalancing because vehicle capacity has been reduced. The remaining delivery workload should be redistributed before continuing the route.
RouteID_00d421bf-f001-4fb0-923e-c343d3d369bc,DISRUPTION_992b81e6-7bee-4878-84cf-991575afcbd9,VEHICLE_CAPACITY_REDUCTION,HIGH,0,41,159,71,-13.7,-0.46,40.23,True,HIGH,100.0,0.0,0.0,100.0,82,84.1,HIGH,88.87,IMMEDIATE_LOAD_REBALANCE,URGENT_ACTION,"Vehicle capacity was reduced by 41%. This can prevent the vehicle from serving all planned stops and may require load redistribution or rerouting. The route contains 159 stops, indicating a relatively high delivery workload. 71 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.46 hours. Route distance was reduced by approximately 13.70 KM. The rerouting process achieved a recovery efficiency of 40.23%. The machine learning model classified this scenario as HIGH risk with 100.00% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 82.00. Final risk score: 84.10. Priority score: 88.87. RouteMind recommends immediate load rebalancing because vehicle capacity has been reduced. The remaining delivery workload should be redistributed before continuing the route."
RouteID_00ace8b4-30c6-4a20-a723-74ece636a0da,DISRUPTION_384f57ba-2f04-4a21-b49a-3c618a7dcf05,VEHICLE_CAPACITY_REDUCTION,HIGH,0,25,173,62,-13.1,-0.44,35.57,True,HIGH,100.0,0.0,0.0,100.0,77,82.6,HIGH,87.82,IMMEDIATE_LOAD_REBALANCE,URGENT_ACTION,"Vehicle capacity was reduced by 25%. This can prevent the vehicle from serving all planned stops and may require load redistribution or rerouting. The route contains 173 stops, indicating a relatively high delivery workload. 62 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.44 hours. Route distance was reduced by approximately 13.10 KM. The rerouting process achieved a recovery efficiency of 35.57%. The machine learning model classified this scenario as HIGH risk with 100.00% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 77.00. Final risk score: 82.60. Priority score: 87.82. RouteMind recommends immediate load rebalancing because vehicle capacity has been reduced. The remaining delivery workload should be redistributed before continuing the route."
