DisruptionType,Severity,DelayMinutes,CapacityReduction,TotalStops,StopsLost,DistanceChange(KM),TimeChange(Hours),RecoveryEfficiency(%),MLRiskScore,MLRiskLevel
TRAFFIC_DELAY,HIGH,46.86,0.0,166,20,-10.71,-0.34,16.46,100,HIGH
TRAFFIC_DELAY,HIGH,48.98,0.0,179,24,-10.5,-0.283,17.79,100,HIGH
TRAFFIC_DELAY,HIGH,42.81,5.0,165,28,-10.23,-0.341,15.34,100,HIGH
TRAFFIC_DELAY,HIGH,50.62,0.0,178,20,-9.26,-0.317,16.48,100,HIGH
TRAFFIC_DELAY,HIGH,42.49,0.0,172,27,-9.78,-0.366,17.05,100,HIGH
TRAFFIC_DELAY,HIGH,37.83,0.0,176,27,-10.79,-0.311,15.57,95,HIGH
TRAFFIC_DELAY,HIGH,48.5,0.0,168,24,-10.87,-0.298,16.32,100,HIGH
TRAFFIC_DELAY,HIGH,56.38,0.0,178,23,-10.02,-0.299,17.79,100,HIGH
TRAFFIC_DELAY,HIGH,60.99,0.0,173,27,-10.55,-0.313,16.77,100,HIGH
TRAFFIC_DELAY,HIGH,61.53,0.0,169,22,-9.2,-0.363,16.23,100,HIGH
TRAFFIC_DELAY,HIGH,51.07,0.0,171,21,-8.89,-0.282,16.4,100,HIGH
TRAFFIC_DELAY,HIGH,44.84,0.0,166,26,-10.49,-0.353,17.29,100,HIGH
TRAFFIC_DELAY,HIGH,46.46,0.0,171,27,-10.92,-0.325,15.56,100,HIGH
TRAFFIC_DELAY,HIGH,54.22,0.0,166,25,-10.29,-0.368,16.52,100,HIGH
TRAFFIC_DELAY,HIGH,55.33,0.0,177,25,-9.1,-0.306,15.42,100,HIGH
TRAFFIC_DELAY,HIGH,40.27,5.0,173,19,-8.49,-0.344,16.12,100,HIGH
TRAFFIC_DELAY,HIGH,60.19,0.0,175,24,-10.0,-0.301,17.73,100,HIGH
TRAFFIC_DELAY,HIGH,54.87,5.0,178,27,-10.79,-0.343,17.54,100,HIGH
TRAFFIC_DELAY,HIGH,42.16,0.0,180,27,-9.36,-0.293,16.23,100,HIGH
TRAFFIC_DELAY,HIGH,44.3,0.0,173,22,-10.82,-0.366,15.34,100,HIGH
TRAFFIC_DELAY,HIGH,51.77,0.0,159,15,-4.95,-0.166,9.83,100,HIGH
TRAFFIC_DELAY,HIGH,55.57,5.0,164,13,-6.07,-0.205,9.96,100,HIGH
